"estimator","a_intercept","b_slope","mae","rmse","mean_abs_bias"
"bf_mc",0.553607539978202,0.934421721368864,0.107417767912943,0.153093547311937,0.107417767912943
"bf_med",0.546836611471922,1.09770134233711,0.105171248053206,0.148908366125716,0.105171248053206
"bf_mean",0.541014400039507,1.14800412489845,0.104256724645825,0.147615746937794,0.104256724645825
"bf_logodds",0.548169448411887,1.01737680860427,0.106058720094114,0.149777335142802,0.106058720094114
"bf_med_flat",0.543858184382302,1.09656249815004,0.104986803135673,0.148608050928805,0.104986803135673
"bf_mean_flat",0.537798084318207,1.14736110333267,0.104006195230236,0.147296275056826,0.104006195230236
"bf_fold",0.361046200248592,0.729651757354114,NA,NA,NA
"bf_bc",0.572485289373176,0.937980011076363,0.113211927969489,0.161602519239188,0.113211927969489
