"method","n","bias","sd","loa_lo","loa_hi","pct_in","r_prop","ccc","outside_total","r_prop_excl_psi0"
"MC",640000,-0.0702792653161955,0.149530988224425,-0.363360002236069,0.222801471603677,0.9399609375,-0.242761355634865,0.762695130576921,36345,-0.049974873771292
"MCMC",640000,-0.0705110021940479,0.138476523397211,-0.341924988052581,0.200902983664485,0.9378375,-0.31572408288194,0.777433738235274,36896,-0.114216732439484
