"method","true_zone","n_conditions","mean_abs_bias","mean_rmse","mean_coverage","mean_ci_width"
"mc","effect-dominated",120,0.0638704626461902,0.103896481889854,0.535666666666667,0.159432283939774
"mc","mixed",184,0.0635664309370124,0.12042557112423,0.435434782608696,0.16283737388587
"mc","bias-dominated",336,0.0973433946448948,0.165470867558136,0.364821428571429,0.169865796590234
"mcmc","effect-dominated",120,0.0523962371924771,0.0875231267642787,0.931225,0.346498415635652
"mcmc","mixed",184,0.0601284414222004,0.111608327539122,0.848070652173913,0.359532530805841
"mcmc","bias-dominated",336,0.101485420304769,0.160972200842722,0.728934523809524,0.368859660762215
