"key","config_id","sigma_ps","K","ex_violation","psi","mu_b","bf_true","true_zone","Mean_BF_mc","ci_lo_mc","ci_hi_mc","Mean_BF_mcmc","ci_lo_mcmc","ci_hi_mcmc"
"cfg1_psi-0.15_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.15,-0.4,0.727272727272727,"bias-dominated",0.738209250911015,0.688752729664198,0.786684225583505,0.734973506029489,0.568324412008256,0.888360579000957
"cfg1_psi-0.2_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.2,-0.05,0.2,"effect-dominated",0.214869149631636,0.104721026761746,0.3308097228618,0.220506439402057,0.0144509290065027,0.596375689607599
"cfg1_psi-0.2_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.2,-0.1,0.333333333333333,"mixed",0.340205811944345,0.246427343674006,0.434115061551887,0.339879576828787,0.057723314126495,0.649252480130697
"cfg1_psi-0.2_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.2,-0.15,0.428571428571428,"mixed",0.442647486242166,0.362531776978846,0.522869443692203,0.441446932035409,0.172564284139368,0.705363036158288
"cfg1_psi-0.2_mu-0.2_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.2,-0.2,0.5,"mixed",0.50780535024384,0.437546850588888,0.577140520734117,0.506215449142822,0.273732873874847,0.733653918829636
"cfg1_psi-0.2_mu-0.3_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.2,-0.3,0.6,"bias-dominated",0.608310554711263,0.552507977039154,0.664485732676475,0.606816206104835,0.420789701464182,0.78929415127085
"cfg1_psi-0.2_mu-0.4_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.2,-0.4,0.666666666666667,"bias-dominated",0.674250489887627,0.628758297564797,0.719364366794388,0.672237815203481,0.518409287287338,0.822952399268003
"cfg1_psi-0.3_mu-0.05_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.3,-0.05,0.142857142857143,"effect-dominated",0.1485632932857,0.0725784505510095,0.227550141041043,0.153389653742682,0.00998117043198844,0.418905452801961
"cfg1_psi-0.3_mu-0.1_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.3,-0.1,0.25,"effect-dominated",0.254171818323512,0.184074779643527,0.324311038756566,0.253521831504699,0.0439396376101348,0.486416941567094
"cfg1_psi-0.3_mu-0.15_sps0.06","sps0.06_K12_exV0",0.06,12,0,-0.3,-0.15,0.333333333333333,"mixed",0.341769943985327,0.279627263299555,0.4033982316045,0.34061907835433,0.13264294102842,0.547306370708027
