"exposure","rr_uncal","log_rr_uncal","mu_b","sigma_b","rr_cal","log_rr_cal","cal_p","layer1_pass","bf","bf_lo","bf_hi","half_width","ci_class","lookup_bin","p_bias_dominated","verdict","zone"
"Beta-blocker >=50% target dose",0.831452692606109,-0.184580876007238,-0.190499294674324,0.0679704674029419,1.00593596710944,0.00591841866708631,0.94637293763288,FALSE,0.906746450988087,0.738856193383257,0.992799794120429,0.126971800368586,"narrow",12,0.996873442385246,"not usable as effect evidence",NA
"GDMT >=2 of 3 classes",0.682069093340894,-0.382624316386165,-0.190499294674324,0.0679704674029419,0.82520369366387,-0.192125021711841,0.0451881589000551,TRUE,0.510056502997695,0.35642983644143,0.603259313203662,0.123414738381116,"narrow",7,0.648246546227418,"competitive, no verdict",NA
