cond,n,bf_true,true_log_rr,bias_mu,n_nc,se_psi_obs,coverage_current,coverage_joint,half_cur,half_jnt
cfg1_psi-0.14_mu-0.35_sps0.06,200,0.714285714285714,-0.14,-0.35,12,0.06,97.5,100,0.18006666631949,0.225133278835018
cfg1_psi-0.14_mu-0.3_sps0.06,200,0.681818181818182,-0.14,-0.3,12,0.06,96,99.5,0.201912075993021,0.24530791254296
cfg1_psi-0.14_mu-0.25_sps0.06,200,0.641025641025641,-0.14,-0.25,12,0.06,99.5,100,0.226685673134841,0.269681097640967
cfg1_psi-0.14_mu-0.2_sps0.06,200,0.588235294117647,-0.14,-0.2,12,0.06,98.5,100,0.264707778354733,0.305352607711179
cfg1_psi-0.14_mu-0.15_sps0.06,200,0.517241379310345,-0.14,-0.15,12,0.06,98.5,99.5,0.306415520487893,0.356304832447735
cfg1_psi-0.14_mu-0.1_sps0.06,200,0.416666666666667,-0.14,-0.1,12,0.06,100,100,0.353324353296264,0.405665925061404
cfg1_psi-0.14_mu-0.05_sps0.06,200,0.263157894736842,-0.14,-0.05,12,0.06,100,100,0.395367771176679,0.439525260579772
cfg1_psi-0.1_mu-0.4_sps0.06,200,0.8,-0.1,-0.4,12,0.06,95,100,0.159153477394301,0.201337690109151
cfg1_psi-0.1_mu-0.35_sps0.06,200,0.777777777777778,-0.1,-0.35,12,0.06,95,99.5,0.178523038302067,0.217886688364985
cfg1_psi-0.1_mu-0.3_sps0.06,200,0.75,-0.1,-0.3,12,0.06,96,98.5,0.205612731044417,0.242166707067042
cfg1_psi-0.1_mu-0.25_sps0.06,200,0.714285714285714,-0.1,-0.25,12,0.06,96,99,0.233447145696482,0.268947323946399
cfg1_psi-0.1_mu-0.2_sps0.06,200,0.666666666666667,-0.1,-0.2,12,0.06,95.5,98,0.266517051731729,0.305261100017646
cfg1_psi-0.1_mu-0.15_sps0.06,200,0.6,-0.1,-0.15,12,0.06,98,100,0.332756568669615,0.364941117981185
cfg1_psi-0.1_mu-0.1_sps0.06,200,0.5,-0.1,-0.1,12,0.06,98.5,100,0.397750485303251,0.425429043046326
cfg1_psi-0.1_mu-0.05_sps0.06,200,0.333333333333333,-0.1,-0.05,12,0.06,100,100,0.432893010430975,0.449563669612112
cfg1_psi-0.05_mu-0.4_sps0.06,200,0.888888888888889,-0.05,-0.4,12,0.06,92.5,99,0.150974247494328,0.182904629841761
cfg1_psi-0.05_mu-0.35_sps0.06,200,0.875,-0.05,-0.35,12,0.06,94,98.5,0.168696072505127,0.20117551378012
cfg1_psi-0.05_mu-0.3_sps0.06,200,0.857142857142857,-0.05,-0.3,12,0.06,95,98.5,0.192759790741504,0.225184980137368
cfg1_psi-0.05_mu-0.25_sps0.06,200,0.833333333333333,-0.05,-0.25,12,0.06,92.5,97.5,0.221638476327118,0.261101366904188
cfg1_psi-0.05_mu-0.2_sps0.06,200,0.8,-0.05,-0.2,12,0.06,97,100,0.261254357456873,0.293196051484063
cfg1_psi-0.05_mu-0.15_sps0.06,200,0.75,-0.05,-0.15,12,0.06,96,98.5,0.331930012786775,0.353489123080747
cfg1_psi-0.05_mu-0.1_sps0.06,200,0.666666666666667,-0.05,-0.1,12,0.06,97.5,100,0.414387206404016,0.423701961221511
cfg1_psi-0.05_mu-0.05_sps0.06,200,0.5,-0.05,-0.05,12,0.06,99,100,0.457015859410125,0.452620878264264
cfg1_psi-0.01_mu-0.4_sps0.06,200,0.975609756097561,-0.01,-0.4,12,0.06,84,94,0.131276933685899,0.166274798866631
cfg1_psi-0.01_mu-0.35_sps0.06,200,0.972222222222222,-0.01,-0.35,12,0.06,85,96.5,0.138279633840629,0.178381272709623
cfg1_psi-0.01_mu-0.3_sps0.06,200,0.967741935483871,-0.01,-0.3,12,0.06,81.5,90.5,0.162360596405315,0.201409753834319
cfg1_psi-0.01_mu-0.25_sps0.06,200,0.961538461538461,-0.01,-0.25,12,0.06,85,96,0.191486360678742,0.224204635450677
cfg1_psi-0.01_mu-0.2_sps0.06,200,0.952380952380952,-0.01,-0.2,12,0.06,84.5,94.5,0.240105468142385,0.271134601007011
cfg1_psi-0.01_mu-0.15_sps0.06,200,0.9375,-0.01,-0.15,12,0.06,82,94.5,0.309349970957393,0.330667520776389
cfg1_psi-0.01_mu-0.1_sps0.06,200,0.909090909090909,-0.01,-0.1,12,0.06,80.5,94,0.402478610258258,0.415022456186876
cfg1_psi-0.01_mu-0.05_sps0.06,200,0.833333333333333,-0.01,-0.05,12,0.06,78.5,96,0.441602721339856,0.448148700316375
cfg2_psi-0.4_mu-0.4_sps0.1,200,0.5,-0.4,-0.4,12,0.1,90.5,98.5,0.114547720999199,0.172051765278756
cfg2_psi-0.4_mu-0.35_sps0.1,200,0.466666666666667,-0.4,-0.35,12,0.1,93.5,99.5,0.122881464793224,0.177415937207128
cfg2_psi-0.4_mu-0.3_sps0.1,200,0.428571428571428,-0.4,-0.3,12,0.1,96,97.5,0.13211950027744,0.189641956467027
cfg2_psi-0.4_mu-0.25_sps0.1,200,0.384615384615385,-0.4,-0.25,12,0.1,98,100,0.139195047229489,0.189625936045172
cfg2_psi-0.4_mu-0.2_sps0.1,200,0.333333333333333,-0.4,-0.2,12,0.1,97.5,100,0.155786397351179,0.200159598825662
cfg2_psi-0.4_mu-0.15_sps0.1,200,0.272727272727273,-0.4,-0.15,12,0.1,100,100,0.164019088045264,0.207586856844301
cfg2_psi-0.4_mu-0.1_sps0.1,200,0.2,-0.4,-0.1,12,0.1,99.5,100,0.177253420031585,0.21556461589978
cfg2_psi-0.4_mu-0.05_sps0.1,200,0.111111111111111,-0.4,-0.05,12,0.1,100,100,0.154517978189645,0.180164647100791
cfg2_psi-0.36_mu-0.4_sps0.1,200,0.526315789473684,-0.36,-0.4,12,0.1,90.5,99,0.122758977976948,0.194517591493665
cfg2_psi-0.36_mu-0.35_sps0.1,200,0.492957746478873,-0.36,-0.35,12,0.1,94,100,0.130697171904023,0.196973929533962
cfg2_psi-0.36_mu-0.3_sps0.1,200,0.454545454545455,-0.36,-0.3,12,0.1,92,98,0.139099256621174,0.207465886915945
cfg2_psi-0.36_mu-0.25_sps0.1,200,0.409836065573771,-0.36,-0.25,12,0.1,95.5,99,0.151078688686778,0.214032361853973
cfg2_psi-0.36_mu-0.2_sps0.1,200,0.357142857142857,-0.36,-0.2,12,0.1,98.5,100,0.165039531739069,0.227855699864496
cfg2_psi-0.36_mu-0.15_sps0.1,200,0.294117647058824,-0.36,-0.15,12,0.1,100,100,0.179537878311402,0.232714051249689
cfg2_psi-0.36_mu-0.1_sps0.1,200,0.217391304347826,-0.36,-0.1,12,0.1,100,100,0.191220268578072,0.248464375901441
cfg2_psi-0.36_mu-0.05_sps0.1,200,0.121951219512195,-0.36,-0.05,12,0.1,100,100,0.170294053073672,0.211210171051615
cfg2_psi-0.31_mu-0.4_sps0.1,200,0.563380281690141,-0.31,-0.4,12,0.1,90.5,100,0.130414767550631,0.212826511785204
cfg2_psi-0.31_mu-0.35_sps0.1,200,0.53030303030303,-0.31,-0.35,12,0.1,90,97.5,0.13833168771517,0.223241033897244
cfg2_psi-0.31_mu-0.3_sps0.1,200,0.491803278688525,-0.31,-0.3,12,0.1,94,100,0.152605951599025,0.236665108985318
cfg2_psi-0.31_mu-0.25_sps0.1,200,0.446428571428571,-0.31,-0.25,12,0.1,94,98.5,0.159693852083433,0.244188804936048
cfg2_psi-0.31_mu-0.2_sps0.1,200,0.392156862745098,-0.31,-0.2,12,0.1,97.5,99,0.17969286487252,0.256444477587259
cfg2_psi-0.31_mu-0.15_sps0.1,200,0.326086956521739,-0.31,-0.15,12,0.1,98.5,100,0.204791856417033,0.277556783185585
cfg2_psi-0.31_mu-0.1_sps0.1,200,0.24390243902439,-0.31,-0.1,12,0.1,100,100,0.213653567060622,0.284675372915561
cfg2_psi-0.31_mu-0.05_sps0.1,200,0.138888888888889,-0.31,-0.05,12,0.1,100,100,0.187814229315106,0.244707927792039
cfg2_psi-0.27_mu-0.4_sps0.1,200,0.597014925373134,-0.27,-0.4,12,0.1,90.5,98,0.137430149893828,0.23480890353903
cfg2_psi-0.27_mu-0.35_sps0.1,200,0.564516129032258,-0.27,-0.35,12,0.1,89.5,99.5,0.148193975824473,0.244881233740731
cfg2_psi-0.27_mu-0.3_sps0.1,200,0.526315789473684,-0.27,-0.3,12,0.1,89,97.5,0.162276599478618,0.259169108205487
cfg2_psi-0.27_mu-0.25_sps0.1,200,0.480769230769231,-0.27,-0.25,12,0.1,95.5,100,0.174412939334031,0.272261781767234
cfg2_psi-0.27_mu-0.2_sps0.1,200,0.425531914893617,-0.27,-0.2,12,0.1,97,99.5,0.193693737856392,0.291092954960375
cfg2_psi-0.27_mu-0.15_sps0.1,200,0.357142857142857,-0.27,-0.15,12,0.1,98,99.5,0.220175185387262,0.3206276999818
cfg2_psi-0.27_mu-0.1_sps0.1,200,0.27027027027027,-0.27,-0.1,12,0.1,100,100,0.227244368087582,0.308404886298465
cfg2_psi-0.27_mu-0.05_sps0.1,200,0.15625,-0.27,-0.05,12,0.1,100,100,0.2151745615306,0.299143023365678
cfg2_psi-0.23_mu-0.4_sps0.1,200,0.634920634920635,-0.23,-0.4,12,0.1,83,98.5,0.1440503260239,0.235259472208805
cfg2_psi-0.23_mu-0.35_sps0.1,200,0.603448275862069,-0.23,-0.35,12,0.1,86.5,98.5,0.15650745464772,0.249361592388581
cfg2_psi-0.23_mu-0.3_sps0.1,200,0.566037735849057,-0.23,-0.3,12,0.1,91.5,99.5,0.171927195677799,0.268866339060046
cfg2_psi-0.23_mu-0.25_sps0.1,200,0.520833333333333,-0.23,-0.25,12,0.1,89,99.5,0.187466847865779,0.285719348063312
cfg2_psi-0.23_mu-0.2_sps0.1,200,0.465116279069768,-0.23,-0.2,12,0.1,94,100,0.208424737484519,0.31518522381602
cfg2_psi-0.23_mu-0.15_sps0.1,200,0.394736842105263,-0.23,-0.15,12,0.1,96,99.5,0.238522113043916,0.344094531089691
cfg2_psi-0.23_mu-0.1_sps0.1,200,0.303030303030303,-0.23,-0.1,12,0.1,100,100,0.261901946093816,0.37871797104199
cfg2_psi-0.23_mu-0.05_sps0.1,200,0.178571428571429,-0.23,-0.05,12,0.1,100,100,0.254215415921566,0.378788436352352
cfg2_psi-0.18_mu-0.4_sps0.1,200,0.689655172413793,-0.18,-0.4,12,0.1,82,99,0.152781405126647,0.231216803396823
cfg2_psi-0.18_mu-0.35_sps0.1,200,0.660377358490566,-0.18,-0.35,12,0.1,81.5,97,0.162238754810453,0.256090538271593
cfg2_psi-0.18_mu-0.3_sps0.1,200,0.625,-0.18,-0.3,12,0.1,85,100,0.183455399034797,0.275696991752865
cfg2_psi-0.18_mu-0.25_sps0.1,200,0.581395348837209,-0.18,-0.25,12,0.1,85.5,99.5,0.20459899196118,0.291677895652762
cfg2_psi-0.18_mu-0.2_sps0.1,200,0.526315789473684,-0.18,-0.2,12,0.1,92,99.5,0.227124020394086,0.323725235483634
cfg2_psi-0.18_mu-0.15_sps0.1,200,0.454545454545455,-0.18,-0.15,12,0.1,96,100,0.26190245875569,0.362707779511245
cfg2_psi-0.18_mu-0.1_sps0.1,200,0.357142857142857,-0.18,-0.1,12,0.1,98.5,100,0.30704723663563,0.411335531799409
cfg2_psi-0.18_mu-0.05_sps0.1,200,0.217391304347826,-0.18,-0.05,12,0.1,98,100,0.28008245086248,0.405782377589641
cfg2_psi-0.14_mu-0.4_sps0.1,200,0.740740740740741,-0.14,-0.4,12,0.1,77,98.5,0.152027610199905,0.230801727354234
cfg2_psi-0.14_mu-0.35_sps0.1,200,0.714285714285714,-0.14,-0.35,12,0.1,78.5,100,0.164912856484784,0.24972599043237
cfg2_psi-0.14_mu-0.3_sps0.1,200,0.681818181818182,-0.14,-0.3,12,0.1,81,98.5,0.182294396162526,0.268419498487039
cfg2_psi-0.14_mu-0.25_sps0.1,200,0.641025641025641,-0.14,-0.25,12,0.1,87.5,98.5,0.212665990708532,0.296944782905649
cfg2_psi-0.14_mu-0.2_sps0.1,200,0.588235294117647,-0.14,-0.2,12,0.1,83,99,0.238296256918127,0.322284601185934
cfg2_psi-0.14_mu-0.15_sps0.1,200,0.517241379310345,-0.14,-0.15,12,0.1,91.5,100,0.277257343299502,0.36390692612043
cfg2_psi-0.14_mu-0.1_sps0.1,200,0.416666666666667,-0.14,-0.1,12,0.1,96.5,99,0.333128412741656,0.418611647773857
cfg2_psi-0.14_mu-0.05_sps0.1,200,0.263157894736842,-0.14,-0.05,12,0.1,98.5,100,0.331413594232043,0.431280234539322
cfg2_psi-0.1_mu-0.4_sps0.1,200,0.8,-0.1,-0.4,12,0.1,87,99.5,0.156055889672198,0.226100116511561
cfg2_psi-0.1_mu-0.35_sps0.1,200,0.777777777777778,-0.1,-0.35,12,0.1,89,99,0.173825304579677,0.242205181152337
cfg2_psi-0.1_mu-0.3_sps0.1,200,0.75,-0.1,-0.3,12,0.1,90.5,100,0.193837164473746,0.266016389393941
cfg2_psi-0.1_mu-0.25_sps0.1,200,0.714285714285714,-0.1,-0.25,12,0.1,90,99.5,0.21716720633129,0.291567400114192
cfg2_psi-0.1_mu-0.2_sps0.1,200,0.666666666666667,-0.1,-0.2,12,0.1,87,100,0.253225676494064,0.321151602417922
cfg2_psi-0.1_mu-0.15_sps0.1,200,0.6,-0.1,-0.15,12,0.1,89.5,99,0.306442674837971,0.36897586916284
cfg2_psi-0.1_mu-0.1_sps0.1,200,0.5,-0.1,-0.1,12,0.1,86.5,98.5,0.381136948446372,0.424076423227372
cfg2_psi-0.1_mu-0.05_sps0.1,200,0.333333333333333,-0.1,-0.05,12,0.1,96.5,100,0.407657497014209,0.442240423793151
cfg2_psi-0.05_mu-0.4_sps0.1,200,0.888888888888889,-0.05,-0.4,12,0.1,82.5,99,0.13624932332904,0.207197676411857
cfg2_psi-0.05_mu-0.35_sps0.1,200,0.875,-0.05,-0.35,12,0.1,75,98,0.159946460199006,0.23474818801073
cfg2_psi-0.05_mu-0.3_sps0.1,200,0.857142857142857,-0.05,-0.3,12,0.1,76,97.5,0.17984403822451,0.253411960059349
cfg2_psi-0.05_mu-0.25_sps0.1,200,0.833333333333333,-0.05,-0.25,12,0.1,84,98,0.211103131654503,0.27891552831257
cfg2_psi-0.05_mu-0.2_sps0.1,200,0.8,-0.05,-0.2,12,0.1,86,98.5,0.245354677730718,0.307885631857177
cfg2_psi-0.05_mu-0.15_sps0.1,200,0.75,-0.05,-0.15,12,0.1,86.5,99,0.308867883162623,0.362588109275193
cfg2_psi-0.05_mu-0.1_sps0.1,200,0.666666666666667,-0.05,-0.1,12,0.1,86,98.5,0.393922961678432,0.42327153166393
cfg2_psi-0.05_mu-0.05_sps0.1,200,0.5,-0.05,-0.05,12,0.1,89,97.5,0.421780046667394,0.442553107110019
cfg2_psi-0.01_mu-0.4_sps0.1,200,0.975609756097561,-0.01,-0.4,12,0.1,57,85,0.12743691741832,0.209187375297982
cfg2_psi-0.01_mu-0.35_sps0.1,200,0.972222222222222,-0.01,-0.35,12,0.1,58,80.5,0.140114745863378,0.224424343475438
cfg2_psi-0.01_mu-0.3_sps0.1,200,0.967741935483871,-0.01,-0.3,12,0.1,65.5,86.5,0.16406989816026,0.242870794636921
cfg2_psi-0.01_mu-0.25_sps0.1,200,0.961538461538461,-0.01,-0.25,12,0.1,61.5,85.5,0.189242109286236,0.268574929416367
cfg2_psi-0.01_mu-0.2_sps0.1,200,0.952380952380952,-0.01,-0.2,12,0.1,66.5,87.5,0.236301457709426,0.304077234395523
cfg2_psi-0.01_mu-0.15_sps0.1,200,0.9375,-0.01,-0.15,12,0.1,59,78,0.280325612039383,0.35399762818684
cfg2_psi-0.01_mu-0.1_sps0.1,200,0.909090909090909,-0.01,-0.1,12,0.1,61.5,88.5,0.373140612703365,0.41431650456463
cfg2_psi-0.01_mu-0.05_sps0.1,200,0.833333333333333,-0.01,-0.05,12,0.1,61.5,89.5,0.419826467235112,0.443207988719519
cfg9_psi-0.4_mu-0.4_sps0.06,200,0.5,-0.4,-0.4,50,0.06,76,97.5,0.043995433240446,0.0869534975355762
cfg9_psi-0.4_mu-0.35_sps0.06,200,0.466666666666667,-0.4,-0.35,50,0.06,79,99.5,0.04697249381867,0.0872820605963228
cfg9_psi-0.4_mu-0.3_sps0.06,200,0.428571428571428,-0.4,-0.3,50,0.06,81.5,99.5,0.0512896315515505,0.0888631303792408
cfg9_psi-0.4_mu-0.25_sps0.06,200,0.384615384615385,-0.4,-0.25,50,0.06,86.5,99,0.0543044301679428,0.089386566671982
cfg9_psi-0.4_mu-0.2_sps0.06,200,0.333333333333333,-0.4,-0.2,50,0.06,93.5,99,0.059746934696024,0.0919245100245809
cfg9_psi-0.4_mu-0.15_sps0.06,200,0.272727272727273,-0.4,-0.15,50,0.06,97,100,0.0650358735383482,0.0897700995228183
cfg9_psi-0.4_mu-0.1_sps0.06,200,0.2,-0.4,-0.1,50,0.06,98,99.5,0.070441577134254,0.0883391051575398
cfg9_psi-0.4_mu-0.05_sps0.06,200,0.111111111111111,-0.4,-0.05,50,0.06,100,100,0.0779396648726823,0.086358161404158
cfg9_psi-0.36_mu-0.4_sps0.06,200,0.526315789473684,-0.36,-0.4,50,0.06,68,95.5,0.0461736941393387,0.094287493013068
cfg9_psi-0.36_mu-0.35_sps0.06,200,0.492957746478873,-0.36,-0.35,50,0.06,78,99,0.0499489373975768,0.0973261887952644
cfg9_psi-0.36_mu-0.3_sps0.06,200,0.454545454545455,-0.36,-0.3,50,0.06,71.5,97.5,0.0535365806925227,0.0969126408740811
cfg9_psi-0.36_mu-0.25_sps0.06,200,0.409836065573771,-0.36,-0.25,50,0.06,86,97,0.0575637602990976,0.0971624454456051
cfg9_psi-0.36_mu-0.2_sps0.06,200,0.357142857142857,-0.36,-0.2,50,0.06,85,96,0.0616944814642534,0.0974472142232995
cfg9_psi-0.36_mu-0.15_sps0.06,200,0.294117647058824,-0.36,-0.15,50,0.06,94.5,99,0.0702287157154548,0.101554723725642
cfg9_psi-0.36_mu-0.1_sps0.06,200,0.217391304347826,-0.36,-0.1,50,0.06,99,100,0.0759164953317064,0.0982224648853906
cfg9_psi-0.36_mu-0.05_sps0.06,200,0.121951219512195,-0.36,-0.05,50,0.06,100,100,0.0857213158405978,0.09610909709296
cfg9_psi-0.31_mu-0.4_sps0.06,200,0.563380281690141,-0.31,-0.4,50,0.06,68.5,96,0.0489306665638791,0.105446627369211
cfg9_psi-0.31_mu-0.35_sps0.06,200,0.53030303030303,-0.31,-0.35,50,0.06,75.5,99.5,0.0536629445372486,0.109366930111429
cfg9_psi-0.31_mu-0.3_sps0.06,200,0.491803278688525,-0.31,-0.3,50,0.06,74,97.5,0.0580329612893893,0.114585449000389
cfg9_psi-0.31_mu-0.25_sps0.06,200,0.446428571428571,-0.31,-0.25,50,0.06,81.5,97,0.063497029678631,0.115307725429435
cfg9_psi-0.31_mu-0.2_sps0.06,200,0.392156862745098,-0.31,-0.2,50,0.06,87.5,98,0.0697294884013033,0.119786309527587
cfg9_psi-0.31_mu-0.15_sps0.06,200,0.326086956521739,-0.31,-0.15,50,0.06,90,98.5,0.0769449778489416,0.11855352541177
cfg9_psi-0.31_mu-0.1_sps0.06,200,0.24390243902439,-0.31,-0.1,50,0.06,96.5,98.5,0.0840237151601595,0.111859013877826
cfg9_psi-0.31_mu-0.05_sps0.06,200,0.138888888888889,-0.31,-0.05,50,0.06,99.5,100,0.0952625497403424,0.112301370296627
cfg9_psi-0.27_mu-0.4_sps0.06,200,0.597014925373134,-0.27,-0.4,50,0.06,66.5,97.5,0.0528410759763973,0.119379395039334
cfg9_psi-0.27_mu-0.35_sps0.06,200,0.564516129032258,-0.27,-0.35,50,0.06,66,96.5,0.0574017334634261,0.123420351848876
cfg9_psi-0.27_mu-0.3_sps0.06,200,0.526315789473684,-0.27,-0.3,50,0.06,71,96,0.0634362188172696,0.130806944828312
cfg9_psi-0.27_mu-0.25_sps0.06,200,0.480769230769231,-0.27,-0.25,50,0.06,80,95.5,0.0667725441709311,0.128359661751492
cfg9_psi-0.27_mu-0.2_sps0.06,200,0.425531914893617,-0.27,-0.2,50,0.06,81.5,98.5,0.0756176565947053,0.136526038207941
cfg9_psi-0.27_mu-0.15_sps0.06,200,0.357142857142857,-0.27,-0.15,50,0.06,88,99,0.0832578852274018,0.132848476159469
cfg9_psi-0.27_mu-0.1_sps0.06,200,0.27027027027027,-0.27,-0.1,50,0.06,96,100,0.0964380525409713,0.135569627183123
cfg9_psi-0.27_mu-0.05_sps0.06,200,0.15625,-0.27,-0.05,50,0.06,100,100,0.108689160043513,0.130725134174811
cfg9_psi-0.23_mu-0.4_sps0.06,200,0.634920634920635,-0.23,-0.4,50,0.06,68,95,0.0561266504063086,0.132235469490055
cfg9_psi-0.23_mu-0.35_sps0.06,200,0.603448275862069,-0.23,-0.35,50,0.06,59,96.5,0.0609409268082983,0.140877157420296
cfg9_psi-0.23_mu-0.3_sps0.06,200,0.566037735849057,-0.23,-0.3,50,0.06,65,96.5,0.0661001631193359,0.146155775095801
cfg9_psi-0.23_mu-0.25_sps0.06,200,0.520833333333333,-0.23,-0.25,50,0.06,75.5,96.5,0.0728386507705017,0.147749834869019
cfg9_psi-0.23_mu-0.2_sps0.06,200,0.465116279069768,-0.23,-0.2,50,0.06,77,98,0.0832521714709635,0.163893404661514
cfg9_psi-0.23_mu-0.15_sps0.06,200,0.394736842105263,-0.23,-0.15,50,0.06,82.5,99,0.0944722648478347,0.170164813258771
cfg9_psi-0.23_mu-0.1_sps0.06,200,0.303030303030303,-0.23,-0.1,50,0.06,92,99,0.108754396649196,0.170286236617752
cfg9_psi-0.23_mu-0.05_sps0.06,200,0.178571428571429,-0.23,-0.05,50,0.06,98.5,99.5,0.123194882981115,0.160373697110022
cfg9_psi-0.18_mu-0.4_sps0.06,200,0.689655172413793,-0.18,-0.4,50,0.06,57.5,95,0.0604871797726803,0.150999037726891
cfg9_psi-0.18_mu-0.35_sps0.06,200,0.660377358490566,-0.18,-0.35,50,0.06,62,94.5,0.0661562226932206,0.161604496224269
