cond,n,bf_true,true_log_rr,bias_mu,n_nc,se_psi_obs,coverage_current,coverage_joint,half_cur,half_jnt
cfg10_psi-0.4_mu-0.15_sps0.1,200,0.272727272727273,-0.4,-0.15,50,0.1,74,98,0.0644224380914069,0.132753402510974
cfg10_psi-0.4_mu-0.1_sps0.1,200,0.2,-0.4,-0.1,50,0.1,92.5,97.5,0.0695116080926631,0.118232634192096
cfg10_psi-0.4_mu-0.05_sps0.1,200,0.111111111111111,-0.4,-0.05,50,0.1,99.5,99.5,0.0779533197352459,0.104918278263397
cfg10_psi-0.36_mu-0.4_sps0.1,200,0.526315789473684,-0.36,-0.4,50,0.1,47.5,96,0.0460390527072149,0.147924250885686
cfg10_psi-0.36_mu-0.35_sps0.1,200,0.492957746478873,-0.36,-0.35,50,0.1,48.5,95,0.0510002906252991,0.159312738845805
cfg10_psi-0.36_mu-0.3_sps0.1,200,0.454545454545455,-0.36,-0.3,50,0.1,59,96,0.0531362583922098,0.159825499096708
cfg10_psi-0.36_mu-0.25_sps0.1,200,0.409836065573771,-0.36,-0.25,50,0.1,61,97,0.0596802719682095,0.163260879431803
cfg10_psi-0.36_mu-0.2_sps0.1,200,0.357142857142857,-0.36,-0.2,50,0.1,66.5,96,0.0617953969567455,0.154837238373356
cfg10_psi-0.36_mu-0.15_sps0.1,200,0.294117647058824,-0.36,-0.15,50,0.1,79,99.5,0.0701977544466872,0.157970564085423
cfg10_psi-0.36_mu-0.1_sps0.1,200,0.217391304347826,-0.36,-0.1,50,0.1,88,98,0.07466092189713,0.12675892691092
cfg10_psi-0.36_mu-0.05_sps0.1,200,0.121951219512195,-0.36,-0.05,50,0.1,98,100,0.0840259024205244,0.113834343065221
cfg10_psi-0.31_mu-0.4_sps0.1,200,0.563380281690141,-0.31,-0.4,50,0.1,47,92.5,0.0504186240475925,0.172986311598311
cfg10_psi-0.31_mu-0.35_sps0.1,200,0.53030303030303,-0.31,-0.35,50,0.1,48.5,97,0.0538963703648838,0.180888811001207
cfg10_psi-0.31_mu-0.3_sps0.1,200,0.491803278688525,-0.31,-0.3,50,0.1,49,96.5,0.0579295822926446,0.18035511347639
cfg10_psi-0.31_mu-0.25_sps0.1,200,0.446428571428571,-0.31,-0.25,50,0.1,58.5,97.5,0.0647612077934053,0.197086223551142
cfg10_psi-0.31_mu-0.2_sps0.1,200,0.392156862745098,-0.31,-0.2,50,0.1,64,98.5,0.0696780410163023,0.191876339142365
cfg10_psi-0.31_mu-0.15_sps0.1,200,0.326086956521739,-0.31,-0.15,50,0.1,74.5,97,0.0795153252302694,0.194984801662463
cfg10_psi-0.31_mu-0.1_sps0.1,200,0.24390243902439,-0.31,-0.1,50,0.1,80,98,0.0841106526517605,0.173011288145843
cfg10_psi-0.31_mu-0.05_sps0.1,200,0.138888888888889,-0.31,-0.05,50,0.1,96.5,99,0.098980259441158,0.163097029742301
cfg10_psi-0.27_mu-0.4_sps0.1,200,0.597014925373134,-0.27,-0.4,50,0.1,39,97,0.0526647589925231,0.190755357474535
cfg10_psi-0.27_mu-0.35_sps0.1,200,0.564516129032258,-0.27,-0.35,50,0.1,47.5,95.5,0.0579157101120916,0.199738868521583
cfg10_psi-0.27_mu-0.3_sps0.1,200,0.526315789473684,-0.27,-0.3,50,0.1,44,94,0.0627661862337644,0.218454460239414
cfg10_psi-0.27_mu-0.25_sps0.1,200,0.480769230769231,-0.27,-0.25,50,0.1,51,96.5,0.0665196755869993,0.21403136503925
cfg10_psi-0.27_mu-0.2_sps0.1,200,0.425531914893617,-0.27,-0.2,50,0.1,57,95.5,0.074748245125132,0.222958706890916
cfg10_psi-0.27_mu-0.15_sps0.1,200,0.357142857142857,-0.27,-0.15,50,0.1,63.5,93.5,0.0824623384746429,0.236210628935694
cfg10_psi-0.27_mu-0.1_sps0.1,200,0.27027027027027,-0.27,-0.1,50,0.1,79,98,0.0980650818205154,0.223739219436927
cfg10_psi-0.27_mu-0.05_sps0.1,200,0.15625,-0.27,-0.05,50,0.1,94.5,100,0.114722912890039,0.217901973797013
cfg10_psi-0.23_mu-0.4_sps0.1,200,0.634920634920635,-0.23,-0.4,50,0.1,40.5,98,0.0561843801646107,0.206538299820865
cfg10_psi-0.23_mu-0.35_sps0.1,200,0.603448275862069,-0.23,-0.35,50,0.1,50,99,0.0608069531481846,0.219164390961365
cfg10_psi-0.23_mu-0.3_sps0.1,200,0.566037735849057,-0.23,-0.3,50,0.1,51.5,97.5,0.0652219325529992,0.223074446524589
