"score","x_bd","y_bd","x_ed","y_ed"
"Calibrated P alone",1,1,0.00133461538461538,0.00368888888888889
"Calibrated P alone",0.993412280701754,0.999742063492064,0.00257948717948718,0.00682222222222222
"Calibrated P alone",0.986640350877193,0.999359126984127,0.00514615384615385,0.0134
"Calibrated P alone",0.979993421052632,0.998988095238095,0.00773974358974359,0.0199777777777778
"Calibrated P alone",0.973493421052632,0.9985,0.0103423076923077,0.0265333333333333
"Calibrated P alone",0.966934210526316,0.998063492063492,0.0129435897435897,0.0331
"Calibrated P alone",0.960515350877193,0.9975,0.0155705128205128,0.0395555555555556
"Calibrated P alone",0.954105263157895,0.996930555555556,0.0181538461538462,0.0461944444444444
"Calibrated P alone",0.947701754385965,0.996353174603175,0.0207384615384615,0.0528333333333333
"Calibrated P alone",0.941396929824561,0.995686507936508,0.0233358974358974,0.0594166666666667
"Calibrated P alone",0.93508552631579,0.995027777777778,0.0260179487179487,0.0656277777777778
"Calibrated P alone",0.928822368421053,0.994323412698413,0.0286102564102564,0.0722333333333333
"Calibrated P alone",0.92256798245614,0.993611111111111,0.0311717948717949,0.0789722222222222
"Calibrated P alone",0.916379385964912,0.992839285714286,0.0338371794871795,0.0852611111111111
"Calibrated P alone",0.910225877192982,0.992037698412698,0.0364974358974359,0.0915666666666667
"Calibrated P alone",0.904098684210526,0.991210317460318,0.0391179487179487,0.09805
"Calibrated P alone",0.897984649122807,0.990371031746032,0.0417448717948718,0.104505555555556
"Calibrated P alone",0.892015350877193,0.989402777777778,0.0443820512820513,0.110911111111111
"Calibrated P alone",0.88597149122807,0.9885,0.0470346153846154,0.117255555555556
"Calibrated P alone",0.880024122807018,0.987509920634921,0.0496961538461538,0.123561111111111
"Calibrated P alone",0.874114035087719,0.986488095238095,0.0524064102564103,0.12965
"Calibrated P alone",0.868212719298246,0.985456349206349,0.0550871794871795,0.135872222222222
"Calibrated P alone",0.862276315789474,0.984456349206349,0.0577179487179487,0.142311111111111
"Calibrated P alone",0.856357456140351,0.983440476190476,0.0603717948717949,0.14865
"Calibrated P alone",0.850464912280702,0.982402777777778,0.0630230769230769,0.154994444444444
"Calibrated P alone",0.844598684210526,0.981339285714286,0.0656807692307692,0.161316666666667
"Calibrated P alone",0.838809210526316,0.980206349206349,0.0683666666666667,0.167516666666667
"Calibrated P alone",0.833094298245614,0.979007936507936,0.0710525641025641,0.173711111111111
"Calibrated P alone",0.827300438596491,0.977878968253968,0.0737179487179487,0.18
"Calibrated P alone",0.82156798245614,0.976694444444444,0.0763769230769231,0.186316666666667
"Calibrated P alone",0.815875,0.97547619047619,0.0791038461538461,0.192333333333333
"Calibrated P alone",0.810199561403509,0.974240079365079,0.081825641025641,0.198377777777778
"Calibrated P alone",0.804587719298246,0.972946428571429,0.0845730769230769,0.204311111111111
"Calibrated P alone",0.798964912280702,0.971662698412698,0.0872564102564103,0.210522222222222
"Calibrated P alone",0.793280701754386,0.970436507936508,0.0899564102564103,0.216655555555556
"Calibrated P alone",0.787622807017544,0.969184523809524,0.0926269230769231,0.222922222222222
"Calibrated P alone",0.782052631578947,0.967853174603175,0.095401282051282,0.228738888888889
"Calibrated P alone",0.776508771929825,0.9665,0.098225641025641,0.234333333333333
"Calibrated P alone",0.770910087719298,0.965194444444444,0.100942307692308,0.2404
"Calibrated P alone",0.765456140350877,0.963757936507937,0.103719230769231,0.246205555555556
"Calibrated P alone",0.759896929824561,0.962418650793651,0.106458974358974,0.252166666666667
"Calibrated P alone",0.754339912280702,0.961075396825397,0.109188461538462,0.258177777777778
"Calibrated P alone",0.748811403508772,0.959706349206349,0.111932051282051,0.264127777777778
"Calibrated P alone",0.743438596491228,0.958196428571429,0.114724358974359,0.269866666666667
"Calibrated P alone",0.737918859649123,0.956821428571429,0.117471794871795,0.275794444444444
"Calibrated P alone",0.732539473684211,0.95531746031746,0.12024358974359,0.281622222222222
"Calibrated P alone",0.727021929824561,0.953938492063492,0.122951282051282,0.287727777777778
"Calibrated P alone",0.721589912280702,0.952484126984127,0.125778205128205,0.293311111111111
"Calibrated P alone",0.716223684210526,0.950968253968254,0.128555128205128,0.299116666666667
"Calibrated P alone",0.710831140350877,0.94947619047619,0.13130641025641,0.305033333333333
"Calibrated P alone",0.705497807017544,0.94793253968254,0.134120512820513,0.310672222222222
"Calibrated P alone",0.700160087719298,0.946390873015873,0.136947435897436,0.316261111111111
"Calibrated P alone",0.694864035087719,0.944811507936508,0.139712820512821,0.322116666666667
"Calibrated P alone",0.689605263157895,0.943198412698413,0.142510256410256,0.327833333333333
"Calibrated P alone",0.68431798245614,0.941613095238095,0.145308974358974,0.333538888888889
"Calibrated P alone",0.679118421052632,0.939946428571429,0.148147435897436,0.339077777777778
"Calibrated P alone",0.673752192982456,0.938430555555556,0.150938461538462,0.344822222222222
"Calibrated P alone",0.668635964912281,0.936690476190476,0.153755128205128,0.35045
"Calibrated P alone",0.66347149122807,0.934992063492064,0.156629487179487,0.355833333333333
"Calibrated P alone",0.658296052631579,0.933303571428571,0.159403846153846,0.36165
"Calibrated P alone",0.653140350877193,0.931599206349206,0.162232051282051,0.367227777777778
"Calibrated P alone",0.64806798245614,0.92981746031746,0.165146153846154,0.372438888888889
"Calibrated P alone",0.64291447368421,0.928109126984127,0.167953846153846,0.378111111111111
"Calibrated P alone",0.637743421052632,0.926416666666667,0.170747435897436,0.383844444444444
"Calibrated P alone",0.632552631578947,0.924744047619048,0.173564102564103,0.389472222222222
"Calibrated P alone",0.627434210526316,0.923003968253968,0.176423076923077,0.394922222222222
"Calibrated P alone",0.622276315789474,0.921299603174603,0.179248717948718,0.400516666666667
"Calibrated P alone",0.617098684210526,0.919615079365079,0.181996153846154,0.406444444444444
"Calibrated P alone",0.612070175438597,0.917793650793651,0.184776923076923,0.412233333333333
"Calibrated P alone",0.607061403508772,0.915954365079365,0.187685897435897,0.417466666666667
"Calibrated P alone",0.602146929824561,0.914031746031746,0.190602564102564,0.422661111111111
"Calibrated P alone",0.597230263157895,0.912109126984127,0.19348717948718,0.428
"Calibrated P alone",0.592412280701754,0.910097222222222,0.196424358974359,0.433111111111111
"Calibrated P alone",0.587377192982456,0.908281746031746,0.199239743589744,0.43875
"Calibrated P alone",0.582524122807018,0.906303571428571,0.202088461538462,0.444238888888889
"Calibrated P alone",0.577607456140351,0.904380952380952,0.204952564102564,0.449666666666667
"Calibrated P alone",0.57266447368421,0.902482142857143,0.207817948717949,0.455088888888889
"Calibrated P alone",0.567809210526316,0.900505952380952,0.210705128205128,0.460411111111111
"Calibrated P alone",0.563019736842105,0.898468253968254,0.213652564102564,0.465477777777778
"Calibrated P alone",0.558217105263158,0.89644246031746,0.216553846153846,0.470744444444444
"Calibrated P alone",0.553269736842105,0.894549603174603,0.219425641025641,0.476133333333333
"Calibrated P alone",0.548497807017544,0.892496031746032,0.22235641025641,0.481272222222222
"Calibrated P alone",0.543765350877193,0.890406746031746,0.225294871794872,0.486377777777778
