scope,n,coverage_current,coverage_joint,median_halfwidth_current,median_halfwidth_joint,median_width_gain,R3_yield_current,R3_yield_joint,R3_misuse_current,R3_misuse_joint,pct_reps_rule_switched
"all retained conditions (K = 12 and 50, exV = 0)",64000,78.8390625,97.65,0.131918644983408,0.221505380975809,0.0695201934186497,24.3453125,13.1625,5.10236826904563,0.56980056980057,11.1921875
K = 12,32000,92.740625,98.5,0.18494890492176,0.246749675595423,0.0467220173940274,15.6625,9.25,2.69353551476457,0.236486486486487,6.43125
K = 50,32000,64.9375,96.8,0.0765193334123739,0.191083925869589,0.105551584893024,33.028125,17.075,6.2446778313937,0.750366032210835,15.953125
sigma_psi = 0.06,32000,85.56875,98.3375,0.134792998150579,0.193504805973691,0.0462157085999939,23.225,15.753125,1.97793326157158,0.277722674072605,7.490625
sigma_psi = 0.10,32000,72.109375,96.9625,0.129173628644748,0.245949853755756,0.0996723888560388,25.465625,10.571875,7.95189593815192,1.00502512562814,14.89375
