"rule","declare_usable_pct","sens_ed","spec_ed","ppv_ed","npv_ed","sens_bd","spec_bd","ppv_bd","npv_bd"
"R0",91.6930208333333,94.6466666666667,8.98858974358974,19.3539811849548,87.9167868383764,9.48035714285714,92.9899122807018,59.9157335072166,48.1718324163621
"R1",61.8711458333333,88.1233333333333,44.1870512820513,26.7057038906464,94.1596068157044,57.535119047619,83.3201754385965,79.2206798766245,63.9669474361198
"R2",47.2201041666667,88.1088888888889,62.2157692307692,34.9859809888532,95.7756958437852,81.8246031746032,79.322149122807,81.3906810318796,79.7923289206354
"R3",29.8530208333333,81.1955555555556,81.9952564102564,50.9970724626556,94.9736490790914,95.7666666666667,58.1695175438596,71.6745048714678,92.5551922788383
"R4",21.4553125,81.1794444444444,92.3271794871795,70.9434823348918,95.5072019776428,98.8138888888889,43.8581140350877,66.0481228175574,97.0976496691282
"C1",56.1959375,98.7361111111111,53.6210256410256,32.9436995927567,99.4590018524728,75.2043650793651,90.9015350877193,90.1338583987882,76.835143406348
"C2",31.9205208333333,85.31,80.4001282051282,50.1107894934358,95.9541773325601,94.7732142857143,61.4241228070175,73.0850736654309,91.4034532383492
