"analysis","n","bias","sd_diff","loa_lo","loa_hi","pct_in_loa","ccc","r_prop","slope","slope_lo","slope_hi","slope_t","slope_p","intercept","int_lo","int_hi","int_t","int_p","mae","rmse"
"interior (primary)",864000,-0.0491851917709222,0.117699013159913,-0.279875257564351,0.181504874022507,93.7857638888889,0.815328272831665,-0.0976485164868971,-0.0588298547612481,-0.0600941368144234,-0.0575655727080729,-91.2016094723357,0,-0.0199852960265384,-0.02065967477291,-0.0193109172801668,-58.0838520143982,0,0.0978085988523108,0.127562630714202
"full (transparency)",960000,-0.0690294108822986,0.13866524861361,-0.340813298164975,0.202754476400378,93.7783333333333,0.780661219562812,-0.298766002580129,-0.181398300911192,-0.182557378344922,-0.180239223477462,-306.739286396273,0,0.0290305360322304,0.0283503404009331,0.0297107316635277,83.650753099666,0,0.112790847655246,0.154897032607508
