"strategy","declare_usable_pct","bd_among_declared_pct","ppv_not_bd_pct","sens_ed_pct","spec_bd_pct"
"R0 uncalibrated p < .05 (no bias correction)",91.6930208333333,51.8281675836379,48.1718324163621,94.6466666666667,9.48035714285714
"R1 calibrated p < .05 (layer 1 only)",61.8711458333333,36.0330525638802,63.9669474361198,88.1233333333333,57.535119047619
"R2 R1 + BF point estimate < 0.5",47.2201041666667,20.2076710793646,79.7923289206354,88.1088888888889,81.8246031746032
"R3 R1 + BF 95% CI contained in one zone",29.8530208333333,7.44480772116166,92.5551922788383,81.1955555555556,95.7666666666667
"R4 R1 + calibrated-probability verdict (full two-layer)",21.4553125,2.90235033087182,97.0976496691282,81.1794444444444,98.8138888888889
"C1 BF point estimate alone",56.1959375,23.164856593652,76.835143406348,98.7361111111111,75.2043650793651
"C2 BF 95% CI contained in one zone, alone",31.9205208333333,8.59654676165084,91.4034532383492,85.31,94.7732142857143
