tag,n,n_opted,rr,rr_lo,rr_hi,log_rr,se_log_rr,rr_cal,cal_p,bf,bf_lo,bf_hi,half_width,ci_class,lookup_bin,p_bias_dominated,verdict,boot_n_fail
indeterminate as suboptimal (published),14677,1744,0.682069093340894,0.597328573953297,0.778831397620772,-0.382624316386166,0.0676855232005418,0.82520369366387,0.0451881589000542,0.510056502997694,0.356429836441429,0.603259313203661,0.123414738381116,narrow,7,0.64824655,"competitive, no verdict",0
complete case (indeterminate dropped),11183,1744,0.683909144696517,0.601618169060699,0.777456104641565,-0.379930199573249,0.0654092377541283,0.827429886273997,0.0446274165460112,0.513673356308698,0.358957310220857,0.607537075437868,0.124289882608505,narrow,8,0.81213079,not usable as effect evidence,0
indeterminate as optimized (opposite extreme),14677,5238,0.911580241464397,0.849081887309309,0.978678910772212,-0.0925756564128622,0.0362367292988715,1.10287856416836,0.20362276560247,0.655461632584705,0.625418255804086,0.756895157497315,0.0657384508466149,narrow,10,0.97610074,not usable as effect evidence,0
"multiple imputation (m = 10, Rubin)",14677,,0.745325281435503,0.652879726374736,0.850860813570529,-0.293934536516567,0.0675652124539073,0.901734415510665,0.280469767125107,0.663957434507256,0.463976517523329,0.785282618165928,0.1606530503213,wide,10,0.97610074,not usable as effect evidence,0
