"rep_id","mu_b","sigma_b","obs_log_rr","bsr_est","bf_est","pt_class"
1,-0.150551415082344,0.0413748789455815,-0.449378938132644,0.503807057481124,0.335021075326645,"competitive"
2,-0.145376168964781,0.0809261660706973,-0.473205100060402,0.443451310044315,0.30721598086374,"effect-dominated"
3,-0.132301777364314,0.0577891133145588,-0.539556285425929,0.324862646687506,0.245204774623049,"effect-dominated"
4,-0.147461092171837,0.058495547890192,-0.563236743245857,0.354665050228216,0.261810142786563,"effect-dominated"
5,-0.133998014654873,0.0579705887045378,-0.476797812833399,0.390892921661197,0.281037393730021,"effect-dominated"
6,-0.137931935027746,0.0614274336420639,-0.605959937277919,0.294708723334074,0.227625502186433,"effect-dominated"
7,-0.134366955352463,0.0571139614988948,-0.470894901078363,0.399274286308171,0.285343831595456,"effect-dominated"
8,-0.113743394759547,0.0796906034708135,-0.506167158486377,0.289848386548592,0.224715082463432,"effect-dominated"
9,-0.133207357219599,0.0418244575026786,-0.555897354850031,0.315141966846506,0.239625815912608,"effect-dominated"
10,-0.166991363951876,0.0545462578155713,-0.526297104002212,0.464761191759649,0.317294856236136,"effect-dominated"
11,-0.149956223098622,0.0580952318352224,-0.427625325151326,0.540053689769773,0.350671988487951,"competitive"
12,-0.188377169490389,0.0323487106416017,-0.383493697691958,0.965459826631306,0.491213207998279,"competitive"
13,-0.128909978955304,0.0407941151526831,-0.464901300814748,0.383670561018927,0.277284616604399,"effect-dominated"
14,-0.157621997875747,0.0835494428380503,-0.561012233170892,0.39074321608311,0.280960001504519,"effect-dominated"
15,-0.174282157533577,0.0644152001454777,-0.512475147852601,0.515333441326426,0.34007923752764,"competitive"
16,-0.175075904023187,0.0549254516195604,-0.535460436116244,0.485803047667926,0.326963286574508,"effect-dominated"
17,-0.150683096194997,0.0666915158818522,-0.429368421302387,0.540692611413724,0.350941263304683,"competitive"
18,-0.161025219713998,0.0547725005228261,-0.454219030226611,0.549210842590658,0.354510068927896,"competitive"
19,-0.15042584083744,0.0754510690170272,-0.602808793120373,0.33251880973481,0.249541550412325,"effect-dominated"
20,-0.11582760900043,0.000629577986227434,-0.523990328926873,0.283778021229631,0.221049135081641,"effect-dominated"
21,-0.161929080965543,0.0288278272694254,-0.533177575459826,0.436174377450673,0.303705722855826,"effect-dominated"
22,-0.121791486179627,0.0626264162246312,-0.412889252608918,0.418386879685008,0.294973737897182,"effect-dominated"
23,-0.170210869214994,0.0523881421166184,-0.501319588218756,0.514063385969187,0.339525670281052,"competitive"
24,-0.141296258867231,0.0339082923073341,-0.602365106261627,0.306453710038594,0.234569129915472,"effect-dominated"
25,-0.164663074439337,0.0103314787839649,-0.413183524859647,0.662573539364064,0.398522846464584,"competitive"
26,-0.114523000245686,0.0431973132746598,-0.484241963394353,0.309756900945423,0.236499537220862,"effect-dominated"
27,-0.136593891742927,0.0505766969057848,-0.489923876093884,0.386590150263756,0.278806358310146,"effect-dominated"
28,-0.149663234569223,0.0524121135253152,-0.448706055275957,0.500474260560813,0.333544049181995,"competitive"
29,-0.146138865080566,0.0527561458325386,-0.429941924795442,0.51493054806169,0.339903732696214,"competitive"
