"rep_id","nc_id","is_shifted","nc_bias_true","nc_log_rr","nc_se"
1,1,FALSE,-0.2,-0.157948855883941,0.115767950078007
1,2,FALSE,-0.2,-0.188115788932205,0.0738897609338164
1,3,FALSE,-0.2,-0.16950562974127,0.0373976083821617
1,4,FALSE,-0.2,-0.274577384508076,0.0570773407048546
1,5,FALSE,-0.2,-0.222796130838316,0.117310398481786
1,6,FALSE,-0.2,-0.160699678815201,0.0400145527767017
1,7,FALSE,-0.2,-0.254288859291587,0.10980642921757
1,8,FALSE,-0.2,-0.264735092433994,0.116414227606729
1,9,TRUE,-0.05,-0.0600141313611054,0.0567259784904309
1,10,TRUE,-0.05,0.0168289246348391,0.101093356758356
1,11,TRUE,-0.05,-0.0167765422213437,0.107643989457283
1,12,TRUE,-0.05,-0.0464106957538585,0.0662171975243837
