"Analysis","logRR_uncal","se_logRR","RR_uncal","mu_bias","sigma_bias","logRR_cal","RR_cal","BF","BF_CI_lo","BF_CI_hi","BER_aux","BER_CI_lo","BER_CI_hi","Calibrated_P","Class"
"BB 1-Year Mortality",-0.184227662216777,0.0561189294235127,0.831746425035372,-0.190499294674324,0.0679704674029419,0.00627163245754689,1.00629134032301,0.905798101144476,0.740272778720532,0.992994394003597,9.61549726862388,2.85019327228699,141.742826318442,0.943276519708147,"bias-dominated"
"GDMT >=2/3 Classes",-0.437535631514604,0.0605391436880672,0.645625521402848,-0.190499294674324,0.0679704674029419,-0.24703633684028,0.781112309862449,0.446043720146922,0.311697408495672,0.52754945123594,0.805196612745728,0.452849389705824,1.11662363948147,0.00664693150352913,"mixed"
